id;Nazionalità;Nome
260;Japanese;Umetaro Azechi
261;Japanese;Kengiro Azuma
262;German;Johannes Baader
263;German;Johannes Theodor Baargeld 
264;American;Kurt W. Baasch
265;American;Alice Baber
266;French;Bacard Fils
268;Italian;Edmondo Bacci
269;German;Elvira Bach
270;Swedish;Olof Backman
271;Finnish;Olof Backstrom
272;British;Francis Bacon
273;American;Peggy Bacon
275;American;Karl Baden
276;American;Mowry Thatcher Baden
277;Argentine;Aquiles Badi
278;Argentine;Libero Badii
279;German;Frank Badur
280;American;Donald Baechler
281;American;Jo Baer
282;American;Martin Baer
283;Swedish;Olle Baertling
284;American;Myrna Báez
285;American;John Bageris
286;German;Heinz Bahr
287;American;Malcolm Bailey
288;American;Oscar Bailey
289;American;William Bailey
290;American;Larry Bair
291;American;Eugenie Baizerman
292;Italian;Enrico Baj
293;Austrian;E. Bakalowitz Söhne
294;American;Carl Baker
296;American;Mikal Baker
298;Russian;Vagrich Bakhchanyan
299;American;Gerhard H. Bakker
300;Russian;Léon Bakst
301;Dutch;Gerard Baksteen
302;Argentine;Amèrico Balán
303;Czech;Jirí Balcar
304;American;John Baldessari
305;Australian;George Baldessin
307;American;C. Leroy Baldridge
308;French;Édouard-Denis Baldus
309;American;Benjamin Baldwin
310;Dutch;Joost Baljeu
311;Italian;Giacomo Balla
313;American;R. Maxil Ballinger
314;Swiss;Theo H. Ballmer
315;American;Alexander Bally
316;American;John F. Balossi
317;French;Balthus 
318;American;Lewis Baltz
319;American;Thomas Bamberger
320;American;McDonald  Bane
321;American;Colette Bangert
322;American;Walter Darby Bannard
323;British;John Banting
324;American;Rudolf Baranik
325;Ukrainian;Vladimir Baranoff-Rossiné
327;American;Anthony Barboza
329;Spanish;Miquel Barcelo
330;American;Peter Bardazzi
331;French;J. Baric
332;American;Richard Baringer
333;Australian;George Barker
334;American;Walter William Barker
335;German;Ernst Barlach
336;American;George Barnard
337;American;Cyril H. Barnes
338;American;Matthew Rackham Barnes
339;American;Robert Barnes
342;American;Will Barnet
343;American;Tina Barney
344;American;Hannelore Baron
345;American;Martin Barooshian
347;British;Steve Barraclough
348;Swiss;Maurice Barraud
349;American;Susan Barron
350;American;Thomas F. Barrow
351;American;D. F. Barry
352;American;Robert Barry
353;American;Robert Bart
354;American;Frances Barth
355;Swiss;Ruodi Barth
356;American;Ralph Bartholomew, Jr.
357;American;Jennifer Bartlett
358;British;Robert Bartlett
359;Italian;Carlo Bartoli
360;Italian;Luigi Bartolini
361;American;Joseph Bartscherer
362;Italian;Gianfranco Baruchello
363;Argentine;Héctor Basaldua
364;French;Bernard Baschet
365;French;François Baschet
366;German;Georg Baselitz
368;Israeli;Mati Basis
369;American;Leonard Baskin
370;American;Jean-Michel Basquiat
371;American;Joel Bass
372;American;Saul Bass
373;Italian;Giampiero Bassi
374;German;Miriam Bat-Yosef
375;French;Georges Bataille
377;Hungarian;Josef Bato
378;American;John Battan
379;British;Wall Batterton
380;British;Dora M. Batty
381;German;Eugen Batz
382;American;Harry W. Batz, Jr.
383;French;André Bauchant
384;German;Karl Bauer
385;American;Rudolph Bauer
386;American;Mary Bauermeister
387;German;Bauhaus
388;American;Marilyn Baum
390;German;Hans Theo Baumann
391;Swiss;Otto Baumberger
392;German;Willi Baumeister
393;German;Lothar Baumgarten
395;British;Edward Bawden
396;British;Glen Baxter
397;Canadian;Iain Baxter&
398;French;Hippolyte Bayard
399;American;Herbert Bayer
401;American;Ed Baynard
402;German;Thomas Bayrle
403;American;Douglas Baz
404;French;Jean Bazaine
405;Haitian;Castera Bazile
406;American;William Baziotes
407;American;Gifford Beal
408;American;Jack Beal
409;American;Lester Beall
411;American;Mark Beard
412;American;Romare Bearden
413;British;Aubrey Beardsley
414;American;Bruce Beasley
415;British;Beath
416;Italian;Felice Beato
417;British;Cecil Beaton
418;American;Leslie Beaton
419;American;Robert Beauchamp
420;French;André Beaudin
421;Italian;Alessandro Becchi
422;German;Bernd Becher
423;American;Thelma Becherer
424;American;Robert Bechtle
425;Austrian;Gustav K. Beck
426;German;A. Becker
427;American;Fred Becker
428;American;Bill Beckley
429;German;Max Beckmann
430;British;Francis Bedford
431;German;René Beeh
432;German;Jan Bontjes van Beek
433;Dutch;Chris Hendrik Beekman
434;British;Max Beerbohm
436;German;Hedda Beese
437;British;Beggarstaffs 
438;German;Peter Behrens
439;Brazilian;Edith Behring
440;American;John Behringer
441;Dutch;J. J. Beljon
442;Canadian;Alistair Macready Bell
443;American;Charles M. Bell
444;American;Larry Bell
445;British;Vanessa Bell
446;American;William H. Bell
447;American;Ross Bellah
448;American;Joseph Bellanca
449;British;John Bellany
450;German;Rudolf Belling
451;Italian;Mario Bellini
452;German;Hans Bellmer
453;American;Ernest J. Bellocq
455;American;George Bellows
456;Italian;Rossella Bellusci
457;Italian;Giandomenico Belotti
458;Congolese;Christian Belpaire
459;Russian;Antoli Pawlowitsch Belski
461;Israeli;David Ben Shaul
462;American;Ahron Ben-Shmuel
463;American;Ben-Zion
464;American;Adolf Benca
465;American;W. T. Benda
466;American;C. Whitney Bender
467;Danish;Niels Sylvester Bendtsen
468;Brazilian;Nair Benedicto
469;Argentine;Luis Fernando Benedit
470;American;G. A. Beneker
471;American;Lynda Benglis
472;American;Billy Al Bengston
473;American;Jim Bengston
474;British;Anthony Benjamin
475;American;Gordon Bennett
476;American;Henry Hamilton Bennett
478;American;Ward Bennett
479;Russian;Alexander Benois
481;American;David Bentley
482;British;Nicholas Bentley
483;American;Thomas Hart Benton
484;Canadian;Roloff Beny
485;Hungarian;Etienne  Béothy
486;French;Christian Bérard
487;Bolivian;Roberto Berdecio
488;American;Vera Berdich
489;American;Ed Bereal
490;American;Stephen Lynn Berens
491;British;Berger 
492;American;Charles Berger
493;American;Jason Berger
495;Swedish;Hagbard Elis Bergh
496;Swedish;Håkan Bergkvist
497;German;Ella Bergmann-Michel
498;American;Paul Bergtold
501;Polish;Henryk Berlewi
502;American;Eugene Berman
503;Polish;Mieczyslaw Berman
504;American;Sarah Berman
505;American;Wallace Berman
506;American;Zeke Berman
507;Cuban;Cundo Bermúdez
508;Cuban;José Ygnacio Bermudez
509;Swiss;Thoni Bern
510;French;Camille Bernabé
511;French;Émile Bernard
512;French;Francis Bernard
513;French;Valère Bernard
514;American;Jerry Berndt
515;American;Lucian Bernhard
516;American;Ruth Bernhard
517;Argentine;Antonio Berni
518;Yugoslav;Janez Bernik
519;American;Judith Bernstein
520;American;Richard Bernstein
521;French;Jean Berque
522;Spanish;Miguel Ortiz Berrocal
523;French;Bertall & Cie.
524;French;M. Berthaud
525;Sconosciuta;Palme Berthold
526;French;Berthold-Mahn 
527;Portuguese;René Bertholo
528;French;Paul Berthon
529;American;Jake Berthot
530;Italian;Gianni Bertini
531;American;Harry Bertoia
532;Italian;Emilio Bertonati
533;French;Albert Besnard
534;American;Forrest Bess
535;Brazilian;Ruth Bessoudo Courvoisier
536;Canadian;Alan Randall Best
537;American;William Betsch
538;French;Pierre Betz
539;Dutch;Wim Beuning
540;German;Joseph Beuys
541;unknown;Art Bevacqua
542;British;Thomas Bewick
544;Indian;Jyoti Bhatt
545;Italian;Domenico Bianchi
546;American;Pamela Bianco
547;Italian;Fulvio Bianconi
548;German;Carl Bianga
549;Italian;Alberto Biasi
550;Italian;Guido Biasi
551;British;Ashley Bickerton
553;American;George Biddle
554;American;Charles Biederman
555;American;James Biederman
556;German;Aenne Biermann
557;Haitian;Wilson Bigaud
559;Swiss;Max Bill
560;American;Joseph Binder
561;American;Ilse Bing
562;British;Robert J. Bingham
563;Swiss;Manfred Bingler
564;Swiss;Peter Birkhauser
565;American;Robert Birmelin
566;Swiss;Werner Bischof
567;American;Elmer Bischoff
568;American;Isabel Bishop
569;American;James Bishop
570;American;Michael Bishop
571;American;Maureen Bisilliat
572;Spanish;Antonio Bisquert Pérez
573;German;Julius Bissier
574;French;Roger Bissière
575;British;George Bissill
576;French;Auguste-Rosalie Bisson
577;French;Louis-Auguste Bisson
578;American;Arnold Bittleman
579;American;Dolores Dembus Bittleman
580;Romanian;Ion Bitzan
581;American;Judith Black
582;American;James Wallace Black
583;unknown;Roman Black
584;American;Wendell Black
585;British;Elizabeth Blackadder
586;American;Morris Blackburn
587;American;Tom Blackwell
588;American;Ronald Bladen
589;American;Nell Blaine
590;French;Jean-Charles Blais
591;American;Jeffrey Blake
592;British;Peter Blake
594;Swiss;Werner Blaser
595;American;Edwin Howland Blashfield
596;American;Arbit Blatas
597;American;Ross Bleckner
599;French;René Bleibtreu
601;unknown;Blessum
602;unknown;André Bloc
603;American;Albert Bloch
604;American;Julius Thiengen Bloch
605;French;Pierrette Bloch
606;unknown;Clarence Lincoln Block
607;American;Gay Block
608;American;Barbara Bloom
609;American;Hyman Bloom
610;American;Vern Blosum
611;British;Sandra Blow
612;American;Oscar Bluemner
613;American;Norman Bluhm
614;American;Donald Blumberg
615;German;Anna Blume
616;German;Bernhard Blume
617;American;Peter Blume
618;German;Erwin Blumenfeld
622;Brazilian;Instituto Lina Bo e Pietro Maria Bardi
623;Italian;Marcello Boccacci
624;Italian;Umberto Boccioni
625;American;Mel Bochner
626;Swedish;Bengt Böckman
627;unknown;Peter Bodner
630;Italian;Alighiero Boetti
631;Dutch;Marinus Boezem
632;Spanish;Ricardo Bofill
633;Swiss;Arthur Emil Bofinger
634;Icelandic;Jóhanna Boga
635;American;Varujan Boghosian
636;German;Theodor Bogler
637;Russian;Alexander Bogomazov
638;American;Blythe Bohnen
639;Austrian;Olaf von Bohr
640;German;Karl Bohrmann
641;American;Bruce Boice
642;French;Charles Boily
643;Swiss;Boissonas
644;Spanish;Richard Boix
645;German;Jakob  Friedrich Bollschweiler
646;American;Roger Bolomey
647;American;Jay Bolotin
648;American;Ilya Bolotowsky
649;French;Christian Boltanski
650;British;Michael Bolus
651;British;David Bomberg
652;French;Camille Bombois
653;Italian;Giorgio Bompadre
654;Italian;Bona
655;Danish;Claus Bonderup
656;French;Emile Bondonneau
657;British;Muirhead Bone
658;Spanish;Antonio Bonet
659;Italian;Rodolfo Bonetto
